well	row	ratio	stained	total	time.point	sample	stained_isolate	predator	starting_freq_I7	freq_I7	freq_I6	rel_fitness	freq_I7_previous	replicate
7	H	0.973	1946	2000	5	1	6	NO	0	0.027000000000000024	0.973	-1.6513480320203437	0.43000000000000005	H1
2	H	0.036	72	2000	0	2	6	NO	0	0.964	0.03600000000000003	0	0.964	H2
8	H	0.009	18	2000	1	2	6	NO	0	0.991	0.009000000000000008	0.7069588004196665	0.964	H2
2	H	0.001	2	2000	2	2	6	NO	0	0.999	0.0010000000000000009	1.1026324108273926	0.991	H2
8	H	0.016	32	2000	3	2	6	NO	0	0.984	0.016000000000000014	-1.3938588019180407	0.999	H2
2	H	0.0135	27	2000	4	2	6	NO	0	0.9865	0.013499999999999956	0.08621823260290915	0.984	H2
8	H	0.015	30	2000	5	2	6	NO	0	0.985	0.015000000000000013	-0.05344109997420579	0.9865	H2
3	H	0.2676056338028169	114	426	0	3	0	NO	0	0.2676056338028169	0.7323943661971831	0	0.2676056338028169	H3
9	H	0.22611464968152867	71	314	1	3	0	NO	0	0.22611464968152867	0.7738853503184713	-0.1117884134421229	0.2676056338028169	H3
3	H	0.13925925925925925	94	675	2	3	0	NO	0	0.13925925925925925	0.8607407407407408	-0.2955372041413372	0.22611464968152867	H3
9	H	0.11867704280155641	61	514	3	3	0	NO	0	0.11867704280155641	0.8813229571984436	-0.09178114336390769	0.13925925925925925	H3
3	H	0.042090970807875085	62	1473	4	3	0	NO	0	0.042090970807875085	0.957909029192125	-0.5599506527489998	0.11867704280155641	H3
9	H	0.06043956043956044	55	910	5	3	0	NO	0	0.06043956043956044	0.9395604395604396	0.19057564155171663	0.042090970807875085	H3
4	H	0.15753424657534246	92	584	0	4	0	YES	0	0.15753424657534246	0.8424657534246576	0	0.15753424657534246	H4
10	H	0.14027149321266968	62	442	1	4	0	YES	0	0.14027149321266968	0.8597285067873304	-0.06817336411603603	0.15753424657534246	H4
4	H	0.025735294117647058	21	816	4	4	0	YES	0	0.025735294117647058	0.9742647058823529	-0.9103914046277846	0.14027149321266968	H4
10	H	0.10554561717352415	59	559	5	4	0	YES	0	0.10554561717352415	0.8944543828264758	0.7483745112072184	0.025735294117647058	H4
5	H	0.992	1984	2000	0	5	7	NO	1	0.992	0.008000000000000007	0	0.992	H5
11	H	0.9855	1971	2000	1	5	7	NO	1	0.9855	0.014499999999999957	-0.3006405442193934	0.992	H5
5	H	0.8755	1751	2000	4	5	7	NO	1	0.8755	0.12450000000000006	-1.1342555206725526	0.9855	H5
11	H	0.7915	1583	2000	5	5	7	NO	1	0.7915	0.20850000000000002	-0.3082492988694666	0.8755	H5
6	H	0.004	8	2000	0	6	7	NO	1	0.004	0.996	0	0.004	H6
12	H	0.02	40	2000	1	6	7	NO	1	0.02	0.98	0.8128162991770405	0.004	H6
12	H	0.02	40	2000	3	6	7	NO	1	0.02	0.98	0	0.02	H6
6	H	0.023	46	2000	4	6	7	NO	1	0.023	0.977	0.07141393099849676	0.02	H6
12	H	0.0445	89	2000	5	6	7	NO	1	0.0445	0.9555	0.3411234308027499	0.023	H6
